run_label,run_name,artifact_key,source_path,destination_path,required_for_task3,exists_in_source,copied,weight_files_found,checkpoint_dirs_found,status,notes
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,confusion_matrix_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260301_150502/diagnostics/confusion_matrix_validation.csv,reports/tables/confusion_matrix_baseline.csv,True,True,True,0,2,copied,
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,confusion_matrix_png,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260301_150502/diagnostics/confusion_matrix_validation.png,reports/figures/confusion_matrix_baseline.png,True,True,True,0,2,copied,
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,per_language_accuracy_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260301_150502/diagnostics/per_language_accuracy_validation.csv,reports/tables/per_language_accuracy_baseline.csv,True,True,True,0,2,copied,
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,speaker_accuracy_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260301_150502/diagnostics/speaker_accuracy_validation.csv,reports/tables/speaker_accuracy_baseline.csv,True,True,True,0,2,copied,
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,speaker_summary_json,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260301_150502/diagnostics/speaker_diagnostic_summary.json,reports/tables/speaker_summary_baseline.json,True,True,True,0,2,copied,
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,tsne_language_png,/home/sasuke/hema/spoken-language-identification/indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260301_150502/diagnostics/tsne_validation_by_language.png,reports/figures/tsne_baseline_by_language.png,True,False,False,0,2,missing,missing_source_artifact_checkpoint_dirs_present_but_no_model_weights
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,tsne_speaker_png,/home/sasuke/hema/spoken-language-identification/indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260301_150502/diagnostics/tsne_validation_by_speaker_topk.png,reports/figures/tsne_baseline_by_speaker.png,True,False,False,0,2,missing,missing_source_artifact_checkpoint_dirs_present_but_no_model_weights
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,tsne_points_csv,/home/sasuke/hema/spoken-language-identification/indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260301_150502/diagnostics/tsne_validation_points.csv,reports/tables/tsne_baseline_points.csv,False,False,False,0,2,missing,missing_source_artifact_checkpoint_dirs_present_but_no_model_weights
mitigation1,SLID_utter-project-mHuBERT-147_1e-05_20260302_111613,confusion_matrix_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260302_111613/diagnostics/confusion_matrix_validation.csv,reports/tables/confusion_matrix_mitigation1.csv,True,True,True,0,2,copied,
mitigation1,SLID_utter-project-mHuBERT-147_1e-05_20260302_111613,confusion_matrix_png,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260302_111613/diagnostics/confusion_matrix_validation.png,reports/figures/confusion_matrix_mitigation1.png,True,True,True,0,2,copied,
mitigation1,SLID_utter-project-mHuBERT-147_1e-05_20260302_111613,per_language_accuracy_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260302_111613/diagnostics/per_language_accuracy_validation.csv,reports/tables/per_language_accuracy_mitigation1.csv,True,True,True,0,2,copied,
mitigation1,SLID_utter-project-mHuBERT-147_1e-05_20260302_111613,speaker_accuracy_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260302_111613/diagnostics/speaker_accuracy_validation.csv,reports/tables/speaker_accuracy_mitigation1.csv,True,True,True,0,2,copied,
mitigation1,SLID_utter-project-mHuBERT-147_1e-05_20260302_111613,speaker_summary_json,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260302_111613/diagnostics/speaker_diagnostic_summary.json,reports/tables/speaker_summary_mitigation1.json,True,True,True,0,2,copied,
improved,SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,confusion_matrix_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260305_022125/diagnostics/confusion_matrix_validation.csv,reports/tables/confusion_matrix_improved.csv,True,True,True,0,0,copied,
improved,SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,confusion_matrix_png,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260305_022125/diagnostics/confusion_matrix_validation.png,reports/figures/confusion_matrix_improved.png,True,True,True,0,0,copied,
improved,SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,per_language_accuracy_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260305_022125/diagnostics/per_language_accuracy_validation.csv,reports/tables/per_language_accuracy_improved.csv,True,True,True,0,0,copied,
improved,SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,speaker_accuracy_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260305_022125/diagnostics/speaker_accuracy_validation.csv,reports/tables/speaker_accuracy_improved.csv,True,True,True,0,0,copied,
improved,SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,speaker_summary_json,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260305_022125/diagnostics/speaker_diagnostic_summary.json,reports/tables/speaker_summary_improved.json,True,True,True,0,0,copied,
improved,SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,tsne_language_png,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260305_022125/diagnostics/tsne_validation_by_language.png,reports/figures/tsne_improved_by_language.png,True,True,True,0,0,copied,
improved,SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,tsne_speaker_png,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260305_022125/diagnostics/tsne_validation_by_speaker_topk.png,reports/figures/tsne_improved_by_speaker.png,True,True,True,0,0,copied,
improved,SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,tsne_points_csv,indic-SLID-mac/SLID_utter-project-mHuBERT-147_1e-05_20260305_022125/diagnostics/tsne_validation_points.csv,reports/tables/tsne_improved_points.csv,False,True,True,0,0,copied,
